               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12146,             0.17409,            0.050448,            0.043875,             0.14257,            0.023976,           0.0057403,             0.10263,             0.13327,            0.053574,              0.0793,              0.0023,              0.0023
                   1,             0.09085,             0.16209,            0.042817,             0.18414,             0.32575,              0.1966,            0.059717,             0.08954,             0.14754,             0.04425,            0.057684,           0.0046845,           0.0046845
                   2,            0.074022,             0.16256,            0.037695,             0.49306,             0.47234,               0.342,             0.14752,            0.063273,            0.085052,            0.036659,            0.036053,           0.0070531,           0.0070531
                   3,            0.066775,             0.17892,             0.03203,             0.30871,             0.55785,             0.29927,            0.099398,            0.068611,            0.086655,            0.029152,            0.014406,           0.0094059,           0.0094059
                   4,            0.062632,             0.19058,            0.024688,             0.37003,              0.5989,             0.41464,             0.17508,            0.065253,             0.10645,            0.029171,            0.009868,            0.009868,            0.009868
                   5,            0.054167,             0.14864,            0.018582,             0.58887,             0.73003,             0.64587,             0.34073,            0.051194,            0.086746,            0.014984,            0.009868,            0.009868,            0.009868
                   6,            0.052458,             0.17896,            0.012995,             0.54484,             0.69985,             0.68072,             0.31596,             0.05103,            0.083725,            0.014053,            0.009835,            0.009835,            0.009835
                   7,            0.047539,             0.15741,            0.010251,             0.69612,             0.80583,             0.82732,             0.45235,             0.03936,            0.077194,             0.01475,            0.009802,            0.009802,            0.009802
                   8,            0.044012,             0.13516,           0.0079039,             0.83398,             0.78085,             0.87371,             0.54448,            0.033935,            0.074036,            0.011877,            0.009769,            0.009769,            0.009769
                   9,            0.046512,             0.19628,           0.0087281,             0.83767,             0.84156,             0.88188,             0.49611,            0.036485,            0.077362,           0.0095253,            0.009736,            0.009736,            0.009736
                  10,            0.044044,             0.17462,           0.0083437,             0.79583,             0.74335,             0.85674,             0.47896,            0.037311,            0.081787,            0.012726,            0.009703,            0.009703,            0.009703
                  11,            0.044527,             0.18783,           0.0079607,             0.84601,             0.83366,             0.87585,             0.49513,            0.033473,            0.076324,            0.016516,             0.00967,             0.00967,             0.00967
                  12,            0.042907,             0.15784,           0.0070048,             0.89006,             0.83457,             0.89588,              0.5668,            0.032311,            0.073189,           0.0080891,            0.009637,            0.009637,            0.009637
                  13,            0.040344,             0.15682,           0.0061306,             0.88254,             0.83645,             0.89383,              0.5082,            0.033349,            0.074402,            0.010826,            0.009604,            0.009604,            0.009604
                  14,            0.039426,             0.16178,           0.0066121,             0.86249,             0.85126,             0.91067,             0.52523,            0.037108,            0.074615,            0.011261,            0.009571,            0.009571,            0.009571
                  15,            0.039099,             0.15922,           0.0055405,             0.75201,             0.75684,             0.79571,             0.45164,            0.037021,            0.073914,           0.0087872,            0.009538,            0.009538,            0.009538
                  16,            0.036471,             0.14343,           0.0048027,              0.7398,             0.81496,             0.84364,             0.49391,            0.033285,            0.073303,            0.019997,            0.009505,            0.009505,            0.009505
                  17,            0.035613,             0.11795,           0.0046313,             0.91098,             0.84632,             0.89981,             0.56058,            0.030852,            0.073822,           0.0093784,            0.009472,            0.009472,            0.009472
                  18,            0.041065,              0.1696,           0.0055258,             0.89137,             0.85788,             0.89638,             0.55524,            0.032316,            0.075584,           0.0090389,            0.009439,            0.009439,            0.009439
                  19,            0.037804,             0.15482,           0.0050136,             0.85724,             0.79993,             0.87121,             0.54802,            0.035238,            0.079956,            0.013374,            0.009406,            0.009406,            0.009406
                  20,            0.036538,             0.12637,           0.0038382,             0.86596,             0.81162,              0.8949,             0.48858,            0.034194,            0.074539,           0.0097961,            0.009373,            0.009373,            0.009373
                  21,            0.035287,             0.13921,           0.0042883,             0.83764,             0.81029,             0.87564,             0.52321,            0.029701,            0.068741,             0.01862,             0.00934,             0.00934,             0.00934
